iter	Passed	Remaining
0	1	159
1	3	151
2	4	155
3	6	150
4	7	146
5	9	151
6	11	149
7	13	150
8	14	147
9	16	146
10	18	147
11	19	146
12	21	146
13	23	147
14	26	147
15	28	147
16	29	145
17	31	145
18	33	144
19	35	140
20	36	138
21	38	136
22	40	135
23	41	132
24	43	131
25	45	128
26	46	126
27	48	123
28	49	121
29	51	120
30	52	117
31	54	116
32	56	114
33	58	113
34	60	112
35	62	110
36	64	109
37	66	107
38	67	106
39	70	105
40	71	102
41	72	99
42	73	96
43	74	94
44	75	92
45	76	90
46	77	87
47	78	85
48	79	82
49	80	80
50	82	79
51	83	77
52	85	75
53	87	74
54	87	71
55	89	70
56	91	68
57	92	66
58	93	65
59	95	63
60	96	61
61	98	60
62	100	58
63	101	57
64	102	55
65	104	53
66	105	51
67	106	49
68	107	48
69	109	46
70	109	44
71	110	43
72	111	41
73	113	39
74	114	38
75	116	36
76	117	35
77	119	33
78	121	32
79	122	30
80	124	29
81	126	27
82	127	26
83	128	24
84	131	23
85	132	21
86	133	19
87	134	18
88	135	16
89	136	15
90	137	13
91	139	12
92	140	10
93	141	9
94	142	7
95	144	6
96	145	4
97	147	3
98	149	1
99	150	0
